qid,percent_correct,correct_answer,most_popular_wrong_answer,doctrine_family,answer_menu_type,breaker_fact_type,axis_strength
18308,42.0,C,A,property_crimes,yes_no_because_menu,remedy_prejudice_or_review_gate,answer_menu_partial
17852,46.0,C,A,property_crimes,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
21189,48.0,C,B,fourth_search_seizure,search_threshold_menu,probable_cause_particularity_exception,answer_menu_strong
14586,39.0,B,A,homicide,fact_specific_reasons,fact_specific_or_unclear,stem_first_required
18934,45.0,C,A,fifth_miranda_confession,remedy_result_menu,right_not_triggered_or_wrong_source,answer_menu_strong
21620,48.0,C,A,fourth_search_seizure,yes_no_because_menu,probable_cause_particularity_exception,answer_menu_partial
14641,36.0,D,A,other_substantive_crime,guilty_not_guilty_menu,mens_rea_or_specific_intent,answer_menu_partial
20629,45.0,C,A,other_substantive_crime,fact_specific_reasons,mens_rea_or_specific_intent,stem_first_required
18399,48.0,C,A,fourth_search_seizure,yes_no_because_menu,probable_cause_particularity_exception,answer_menu_partial
20265,48.0,A,B,property_crimes,fact_specific_reasons,missing_element_or_definition,stem_first_required
17196,44.0,C,A,sixth_trial_rights,right_source_menu,right_not_triggered_or_wrong_source,answer_menu_strong
20938,45.0,C,B,inchoate,inchoate_scope_menu,scope_merger_identity,answer_menu_strong
20112,46.0,C,B,other_substantive_crime,yes_no_because_menu,scope_merger_identity,answer_menu_partial
16044,47.0,C,A,property_crimes,property_crime_label_menu,timing_status_frame,answer_menu_strong
21578,46.0,D,C,homicide,guilty_not_guilty_menu,mens_rea_or_specific_intent,answer_menu_partial
20816,42.0,C,A,fifth_miranda_confession,right_source_menu,remedy_prejudice_or_review_gate,answer_menu_strong
14588,40.0,D,A,due_process_appeal_habeas,defense_excuse_menu,burden_or_proof_allocation,answer_menu_partial
18001,48.0,B,A,defenses,defense_excuse_menu,mens_rea_or_specific_intent,answer_menu_partial
17405,48.0,C,A,homicide,homicide_ladder_menu,missing_element_or_definition,answer_menu_strong
17244,42.0,C,A,sixth_trial_rights,right_source_menu,right_not_triggered_or_wrong_source,answer_menu_strong
16004,46.0,D,D,property_crimes,property_crime_label_menu,mens_rea_or_specific_intent,answer_menu_strong
21105,45.0,B,A,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
19934,45.0,B,A,party_liability,inchoate_scope_menu,scope_merger_identity,answer_menu_strong
18580,47.0,A,B,sixth_trial_rights,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
14698,26.0,C,A,property_crimes,property_crime_label_menu,mens_rea_or_specific_intent,answer_menu_strong
18363,45.0,C,A,fourth_search_seizure,remedy_result_menu,probable_cause_particularity_exception,answer_menu_strong
19964,47.0,C,D,homicide,homicide_ladder_menu,missing_element_or_definition,answer_menu_strong
17127,46.0,C,A,other_substantive_crime,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
14650,43.0,B,A,other_substantive_crime,inchoate_scope_menu,mens_rea_or_specific_intent,answer_menu_strong
19080,45.0,C,A,property_crimes,property_crime_label_menu,missing_element_or_definition,answer_menu_strong
17657,46.0,C,A,due_process_appeal_habeas,right_source_menu,remedy_prejudice_or_review_gate,answer_menu_strong
14658,47.0,A,C,homicide,guilty_not_guilty_menu,mens_rea_or_specific_intent,answer_menu_partial
21151,48.0,A,B,sixth_trial_rights,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
21601,10.0,A,C,fourth_search_seizure,yes_no_because_menu,timing_status_frame,answer_menu_partial
16020,48.0,B,A,homicide,property_crime_label_menu,mens_rea_or_specific_intent,answer_menu_strong
18983,46.0,C,A,sixth_trial_rights,remedy_result_menu,remedy_prejudice_or_review_gate,answer_menu_strong
19956,48.0,C,A,homicide,homicide_ladder_menu,missing_element_or_definition,answer_menu_strong
18598,45.0,A,B,sixth_trial_rights,yes_no_because_menu,right_not_triggered_or_wrong_source,answer_menu_partial
19346,48.0,C,A,sixth_trial_rights,yes_no_because_menu,missing_element_or_definition,answer_menu_partial
14711,47.0,B,C,unclear,fact_specific_reasons,timing_status_frame,stem_first_required
