longest_set,any_because,any_absolute,n,best_letter,best_letter_acc,longest_abc_else_c_acc,truth_responsive_v1_acc
C,True,False,169,C,0.7218934911242604,0.7218934911242604,0.621301775147929
C,True,True,153,C,0.9150326797385621,0.9150326797385621,0.7777777777777778
A,True,True,105,A,0.7333333333333333,0.7333333333333333,0.7619047619047619
B,True,False,92,B,0.41304347826086957,0.41304347826086957,0.391304347826087
B,True,True,75,B,0.6133333333333333,0.6133333333333333,0.68
D,True,False,61,C,0.4098360655737705,0.4098360655737705,0.26229508196721313
A,True,False,46,A,0.4782608695652174,0.4782608695652174,0.43478260869565216
D,True,True,31,A,0.2903225806451613,0.2903225806451613,0.3225806451612903
D,False,False,27,C,0.3333333333333333,0.3333333333333333,0.25925925925925924
C,False,False,20,B,0.4,0.2,0.2
B,False,False,17,D,0.35294117647058826,0.23529411764705882,0.23529411764705882
BC,False,False,12,A,0.5,0.0,0.08333333333333333
CD,False,False,12,D,0.4166666666666667,0.08333333333333333,0.08333333333333333
A,False,False,12,D,0.4166666666666667,0.25,0.25
CD,True,False,11,C,0.8181818181818182,0.8181818181818182,0.6363636363636364
AB,True,False,11,B,0.6363636363636364,0.09090909090909091,0.09090909090909091
CD,True,True,9,C,1.0,1.0,0.8888888888888888
C,False,True,8,D,0.375,0.25,0.375
AC,True,True,7,A,0.5714285714285714,0.42857142857142855,0.7142857142857143
AC,True,False,7,C,0.8571428571428571,0.8571428571428571,0.5714285714285714
BD,True,False,6,C,0.6666666666666666,0.6666666666666666,0.0
BD,False,False,5,A,0.6,0.4,0.0
B,False,True,5,C,0.6,0.0,0.0
BC,True,True,5,C,1.0,1.0,0.8
BC,True,False,4,A,0.25,0.25,0.25
AD,True,True,4,C,0.5,0.5,0.0
AB,False,False,4,A,0.75,0.0,0.75
BCD,False,False,3,A,0.6666666666666666,0.3333333333333333,0.3333333333333333
AB,True,True,3,A,0.6666666666666666,0.0,0.3333333333333333
AD,False,False,3,B,0.6666666666666666,0.0,0.0
AD,True,False,3,C,0.3333333333333333,0.3333333333333333,0.3333333333333333
D,False,True,3,D,1.0,0.0,0.0
ABC,False,False,2,A,1.0,0.0,0.0
BCD,True,False,2,C,1.0,1.0,0.0
BD,True,True,2,C,0.5,0.5,0.0
ABCD,True,True,2,A,0.5,0.0,0.0
ABCD,False,False,2,B,0.5,0.0,0.0
BCD,True,True,1,C,1.0,1.0,1.0
AD,False,True,1,C,1.0,1.0,0.0
