barmatrix_question_id,percent_correct,correct_answer,most_popular_wrong_answer,heuristic_class,trap_hits,choice_len_avg,charge_menu_score
18308,42.0,C,A,defenses_justification_excuse,element_missing_despite_bad_intent;remedy_vs_right,111.5,0
16170,,B,B,accomplice_party_liability,timing_status_at_moment;lesser_greater_offense_ladder,64,1
20984,58.0,B,A,fourth_amendment_search_seizure,constitutional_threshold;exception_to_exception,73.2,0
20131,60.0,C,A,homicide,timing_status_at_moment;lesser_greater_offense_ladder,59.5,1
20023,58.0,B,A,theft_property_crimes,timing_status_at_moment,96.2,0
17309,60.0,C,A,fourth_amendment_search_seizure,timing_status_at_moment;conspiracy_scope_withdrawal_merger;constitutional_threshold;remedy_vs_right,132.2,0
17852,46.0,C,A,theft_property_crimes,element_missing_despite_bad_intent;lesser_greater_offense_ladder,79,0
19480,58.0,A,B,defenses_justification_excuse,timing_status_at_moment;attempt_preparation_line;lesser_greater_offense_ladder,93.8,1
19082,62.0,C,A,sixth_trial_rights,timing_status_at_moment;lesser_greater_offense_ladder;constitutional_threshold;remedy_vs_right;exception_to_exception,110.8,0
14671,59.0,A,C,theft_property_crimes,element_missing_despite_bad_intent;timing_status_at_moment;lesser_greater_offense_ladder,26.2,3
16049,,B,A,fourth_amendment_search_seizure,timing_status_at_moment;constitutional_threshold;remedy_vs_right,80,0
16121,50.0,D,A,theft_property_crimes,timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,79,0
20416,50.0,C,A,sixth_trial_rights,timing_status_at_moment;constitutional_threshold,175.5,0
18279,70.0,C,A,defenses_justification_excuse,timing_status_at_moment;lesser_greater_offense_ladder,58.2,0
18857,63.0,C,A,mens_rea_actus_reus,,71,0
21189,48.0,C,B,fourth_amendment_search_seizure,constitutional_threshold;remedy_vs_right;exception_to_exception,139,0
14586,39.0,B,A,fifth_miranda_confessions,lesser_greater_offense_ladder,96.2,0
20528,62.0,C,A,defenses_justification_excuse,timing_status_at_moment;conspiracy_scope_withdrawal_merger,73.2,0
18934,45.0,C,A,fifth_miranda_confessions,constitutional_threshold;remedy_vs_right;exception_to_exception,130.5,2
16171,,B,D,inchoate,conspiracy_scope_withdrawal_merger,106.8,1
21358,60.0,C,A,defenses_justification_excuse,element_missing_despite_bad_intent;timing_status_at_moment;mental_state_gradient;lesser_greater_offense_ladder,105.2,3
16206,,C,D,exclusion_double_jeopardy_due_process,lesser_greater_offense_ladder;constitutional_threshold,92.8,1
17947,62.0,C,A,fifth_miranda_confessions,timing_status_at_moment;constitutional_threshold;remedy_vs_right,71.5,0
