outline_code,deepest_identifier,deepest_identifier_slug,outline_path
31010000,Presentation of Evidence,presentation_of_evidence,Presentation of Evidence
31010100,General Provisions,general_provisions,Presentation of Evidence > General Provisions
31010101,Roles of judge and jury,roles_of_judge_and_jury,Presentation of Evidence > General Provisions > Roles of judge and jury
31010102,Burden of production and burden of persuasion,burden_of_production_and_burden_of_persuasion,Presentation of Evidence > General Provisions > Burden of production and burden of persuasion
31010103,Presumptions and inferences,presumptions_and_inferences,Presentation of Evidence > General Provisions > Presumptions and inferences
31010104,Materiality and probative value,materiality_and_probative_value,Presentation of Evidence > General Provisions > Materiality and probative value
31010105,Offers of proof,offers_of_proof,Presentation of Evidence > General Provisions > Offers of proof
31010106,Judicial notice,judicial_notice,Presentation of Evidence > General Provisions > Judicial notice
31010107,Preliminary questions,preliminary_questions,Presentation of Evidence > General Provisions > Preliminary questions
31010108,Rule of completeness,rule_of_completeness,Presentation of Evidence > General Provisions > Rule of completeness
31010200,Objections and Motions to Strike,objections_and_motions_to_strike,Presentation of Evidence > Objections and Motions to Strike
31010201,Trial judge’s discretion to control order and presentation of evidence,trial_judges_discretion_to_control_order_and_presentation_of_evidence,Presentation of Evidence > Objections and Motions to Strike > Trial judge’s discretion to control order and presentation of evidence
31010202,Common objections to questions,common_objections_to_questions,Presentation of Evidence > Objections and Motions to Strike > Common objections to questions
31010203,Nonresponsive answers,nonresponsive_answers,Presentation of Evidence > Objections and Motions to Strike > Nonresponsive answers
31010300,Types of Evidence,types_of_evidence,Presentation of Evidence > Types of Evidence
31010400,Witnesses,witnesses,Presentation of Evidence > Witnesses
31010401,Mode and order of witnesses,mode_and_order_of_witnesses,Presentation of Evidence > Witnesses > Mode and order of witnesses
31010402,Form and scope of examination,form_and_scope_of_examination,Presentation of Evidence > Witnesses > Form and scope of examination
31010403,Lay opinion testimony,lay_opinion_testimony,Presentation of Evidence > Witnesses > Lay opinion testimony
31010404,Competency,competency,Presentation of Evidence > Witnesses > Competency
31010405,Personal knowledge,personal_knowledge,Presentation of Evidence > Witnesses > Personal knowledge
31010406,Truthfulness,truthfulness,Presentation of Evidence > Witnesses > Truthfulness
31010407,Refreshing recollection,refreshing_recollection,Presentation of Evidence > Witnesses > Refreshing recollection
31010500,Impeachment,impeachment,Presentation of Evidence > Impeachment
31010501,Use of impeachment material,use_of_impeachment_material,Presentation of Evidence > Impeachment > Use of impeachment material
31010502,Prior inconsistent statement,prior_inconsistent_statement,Presentation of Evidence > Impeachment > Prior inconsistent statement
31010503,Bias,bias,Presentation of Evidence > Impeachment > Bias
31010504,Conviction of crime,conviction_of_crime,Presentation of Evidence > Impeachment > Conviction of crime
31010505,Opinion or reputation,opinion_or_reputation,Presentation of Evidence > Impeachment > Opinion or reputation
32020000,Relevance,relevance,Relevance
32020100,Definition,definition,Relevance > Definition
32020200,Laying a Foundation,laying_a_foundation,Relevance > Laying a Foundation
32020300,Exclusion of Relevant Evidence,exclusion_of_relevant_evidence,Relevance > Exclusion of Relevant Evidence
32020301,Probative value,probative_value,Relevance > Exclusion of Relevant Evidence > Probative value
32020302,"Discretionary exclusion (undue prejudice, confusion, waste of time)",discretionary_exclusion_undue_prejudice_confusion_waste_of_time,"Relevance > Exclusion of Relevant Evidence > Discretionary exclusion (undue prejudice, confusion, waste of time)"
32020400,Character Evidence,character_evidence,Relevance > Character Evidence
32020401,Forms of character evidence,forms_of_character_evidence,Relevance > Character Evidence > Forms of character evidence
32020402,Prohibited uses of character evidence,prohibited_uses_of_character_evidence,Relevance > Character Evidence > Prohibited uses of character evidence
32020403,Exceptions allowing character evidence,exceptions_allowing_character_evidence,Relevance > Character Evidence > Exceptions allowing character evidence
32020404,Specific acts for noncharacter purposes,specific_acts_for_noncharacter_purposes,Relevance > Character Evidence > Specific acts for noncharacter purposes
32020405,Cross-examination and rebuttal of character witnesses,cross_examination_and_rebuttal_of_character_witnesses,Relevance > Character Evidence > Cross-examination and rebuttal of character witnesses
32020500,Habit or custom practice,habit_or_custom_practice,Relevance > Habit or custom practice
32020600,Similar occurrences and contracts,similar_occurrences_and_contracts,Relevance > Similar occurrences and contracts
32020700,Authentication and Identification,authentication_and_identification,Relevance > Authentication and Identification
32020800,Expert Testimony,expert_testimony,Relevance > Expert Testimony
32020801,Acceptable testimony,acceptable_testimony,Relevance > Expert Testimony > Acceptable testimony
32020802,Qualification of experts,qualification_of_experts,Relevance > Expert Testimony > Qualification of experts
32020803,Basis of expert testimony,basis_of_expert_testimony,Relevance > Expert Testimony > Basis of expert testimony
32020804,Opinion on ultimate issue,opinion_on_ultimate_issue,Relevance > Expert Testimony > Opinion on ultimate issue
32020805,Disclosure of underlying facts or data,disclosure_of_underlying_facts_or_data,Relevance > Expert Testimony > Disclosure of underlying facts or data
33040000,Hearsay,hearsay,Hearsay
33040100,In General,in_general,Hearsay > In General
33040101,Hearsay rule,hearsay_rule,Hearsay > In General > Hearsay rule
33040102,Conduct as hearsay,conduct_as_hearsay,Hearsay > In General > Conduct as hearsay
33040103,Multiple hearsay,multiple_hearsay,Hearsay > In General > Multiple hearsay
33040104,Unavailability of declarant as necessary or unnecessary for specific exceptions,unavailability_of_declarant_as_necessary_or_unnecessary_for_specific_exceptions,Hearsay > In General > Unavailability of declarant as necessary or unnecessary for specific exceptions
33040200,Hearsay Exemptions,hearsay_exemptions,Hearsay > Hearsay Exemptions
33040201,Prior statement of witness,prior_statement_of_witness,Hearsay > Hearsay Exemptions > Prior statement of witness
33040202,Statement by opposing party,statement_by_opposing_party,Hearsay > Hearsay Exemptions > Statement by opposing party
33040203,Statements used for non-hearsay purposes,statements_used_for_non_hearsay_purposes,Hearsay > Hearsay Exemptions > Statements used for non-hearsay purposes
33040300,Hearsay Exceptions,hearsay_exceptions,Hearsay > Hearsay Exceptions
33040301,Requiring unavailability of declarant,requiring_unavailability_of_declarant,Hearsay > Hearsay Exceptions > Requiring unavailability of declarant
33040302,Not requiring unavailability of declarant,not_requiring_unavailability_of_declarant,Hearsay > Hearsay Exceptions > Not requiring unavailability of declarant
33040400,Confrontation Clause,confrontation_clause,Hearsay > Confrontation Clause
34050000,"Contents of Writings, Recordings, and Photographs",contents_of_writings_recordings_and_photographs,"Contents of Writings, Recordings, and Photographs"
34050100,Requirement of the Original,requirement_of_the_original,"Contents of Writings, Recordings, and Photographs > Requirement of the Original"
34050101,Best evidence rule,best_evidence_rule,"Contents of Writings, Recordings, and Photographs > Requirement of the Original > Best evidence rule"
