tag,module,student_move,answer_choice_cue,breaker_fact,representative_ids
answer_menu_strong,Answer Menu Decoder,Name the menu before reading for details.,"Legal labels, remedies, rights, or charge ladder appear directly in choices.",Stem supplies one decisive fact.,14556;14698;18132;19299;20700;20938
answer_menu_partial,Answer Menu Decoder,"Use choices to narrow the issue, then read stem earlier.",Yes/no because or guilty/not guilty choices with rule fragments.,"Usually trigger, element, mens rea, or remedy.",21601;20881;19271;18308;21638
combination_grid,Combination Grid,Build a two-axis table before selecting.,"Both/neither, A only/B only, all/some/none.",Each proposition has its own rule and fact.,14619;14596;19651;19357;21011
right_source_switch,Right Source Switchboard,"Name Fifth/Miranda, Sixth, Due Process, or Confrontation before applying.",Multiple constitutional rights or counsel theories appear.,"Custody, interrogation, formal charge, critical stage, testimonial evidence.",20881;18132;17244;17196;18598;20427
trigger_attachment,Breaker Fact Finder,Ask whether the legal right/offense/remedy has triggered yet.,Right exists vs right not attached; charged vs uncharged.,"Formal adversarial proceedings, custody, indictment, arraignment, photo array.",18132;17244;18598;18228;17196
remedy_ladder,Remedy Ladder,"Separate violation from suppression, reversal, and review standard.",Suppress/admit/reverse/affirm/harmless/habeas.,"Materiality, prejudice, harmless error, physical fruit, procedural gate.",18308;20816;14558;17589;19743;20971
property_transfer_axis,Property Crime Switchboard,"Track possession, title, custody, entrustment, force timing, legal significance.",Larceny/embezzlement/false pretenses/robbery/arson/forgery labels.,What transferred and when; whether element exists.,19299;21156;21105;19080;20122;18156;20689;14711
mens_rea_ladder,Homicide and Mens Rea Ladder,Match mental state instead of ranking blame.,Murder/manslaughter/attempt/specific intent/recklessness/strict liability.,"Purpose, knowledge, recklessness, negligence, malice, mitigation.",20700;19008;14657;17052;21718;16054;19271
timing_status_frame,Freeze the Frame,Freeze the legally decisive moment.,"Before/after, completed offense, receipt, search incident, withdrawal.",Status at receipt/search/arrest/taking/agreement.,21601;14615;14625;14711;21024
scope_merger_identity,"Scope, Merger, Identity",Ask whether law treats same facts as same offense.,Conspiracy/attempt/merger/withdrawal/Blockburger/offense-specific.,"Agreement complete, withdrawal effect, element identity, charged offense.",18101;20938;19934;20112;21412;17196
exception_preconditions,Exception Stack,Name the exception and test every prerequisite.,"Warrant, probable cause, exigent, good faith, source, discovery, search incident.","Particularized PC, valid warrant, lawful arrest, exception scope.",21601;21638;18363;14599;21432
burden_proof_shift,Burden and Proof Allocation,Identify who must prove what and by what standard.,"Burden, presumption, reasonable doubt, preponderance, instructions.",Element vs affirmative defense; mandatory presumption vs permissible inference.,14596;14588;19757;18296
