No,ID,Pattern,Trap,Correct Letter,Correct Answer To Look For,Rule Capsule,Most Popular Wrong,Most Popular Wrong Choice,Nugget,Word Count
1,14575,A defendant was charged with murder. Several witnesses testified that the crime was committed by a person of the defendant's general description who walked with a severe limp. The defendant in fact walks with a severe limp. He objected to…,"Evidence of how the defendant walks is non-testimonial, similar to ordering blood samples or handwriting exemplars, so the privilege against self-incrimination is not implicated",C,"denied, because the order sought by the prosecution is a legitimate part of a proper courtroom identification process","The defendant's mode of walking is relevant to aid with the in-court identification, and the court can properly order the defendant to give such a demonstration without running afoul of his constitutional rights",A,"sustained, because the order sought by the prosecution would violate the defendant's privilege against self-incrimination.","001. ID 14575 | Pattern: A defendant was charged with murder. Several witnesses testified that the crime was committed by a person of the defendant's general description who walked with a severe limp. The defendant in fact walks with a severe limp. He objected to… | Trap: Evidence of how the defendant walks is non-testimonial, similar to ordering blood samples or handwriting exemplars, so the privilege against self-incrimination is not implicated | Look for: C — denied, because the order sought by the prosecution is a legitimate part of a proper courtroom identification process. Rule: The defendant's mode of walking is relevant to aid with the in-court identification, and the court can properly order the defendant to give such a demonstration without running afoul of his constitutional rights",128
2,16048,"In the course of robbing a bank, the defendant pointed a gun at three bank tellers and the bank manager and ordered them to go from the bank lobby to the back room while his confederate attempted to open the…","Do not require the defendant personally to have intercourse; ordering coerced sex under threat can make him guilty of rape, not merely solicitation or no crime",B,Rape,"Rape is sexual intercourse without consent of the female. Since the bank teller's resistance was overcome by the defendant's threat and her resulting fear of death, the intercourse occurred without her consent",D,Neither solicitation to commit rape nor rape.,"002. ID 16048 | Pattern: In the course of robbing a bank, the defendant pointed a gun at three bank tellers and the bank manager and ordered them to go from the bank lobby to the back room while his confederate attempted to open the… | Trap: Do not require the defendant personally to have intercourse; ordering coerced sex under threat can make him guilty of rape, not merely solicitation or no crime | Look for: B — Rape. Rule: Rape is sexual intercourse without consent of the female. Since the bank teller's resistance was overcome by the defendant's threat and her resulting fear of death, the intercourse occurred without her consent",112
3,16059,"The defendant was driving across the border from Mexico. He arrived at the border station. The border inspector asked him to open the trunk of his car and began searching it. In the course of the search, the inspector discovered…",Do not use same transaction as the double-jeopardy test; separate sovereigns may prosecute offenses arising from the same conduct,D,"denied, since the two prosecutions are not by the same sovereign","The double jeopardy clause prevents a person from being placed twice in jeopardy for the same offense. This does not prevent prosecution by two separate sovereigns for crimes arising out of the same transaction, however, because a different offense has been committed…",A,"granted, since both the prosecutions resulted from the same transaction.","003. ID 16059 | Pattern: The defendant was driving across the border from Mexico. He arrived at the border station. The border inspector asked him to open the trunk of his car and began searching it. In the course of the search, the inspector discovered… | Trap: Do not use same transaction as the double-jeopardy test; separate sovereigns may prosecute offenses arising from the same conduct | Look for: D — denied, since the two prosecutions are not by the same sovereign. Rule: The double jeopardy clause prevents a person from being placed twice in jeopardy for the same offense. This does not prevent prosecution by two separate sovereigns for crimes arising out of the same transaction, however, because a different offense has been committed…",125
4,19099,"After voluntarily drinking heavily, Simon throws a heavy glass bottle toward a crowd from a balcony. The bottle narrowly misses Dana. Simon is charged with attempted murder. Witnesses say Simon was laughing and yelling nonsense, not aiming at anyone in…",It affects only the specific intent element of attempted murder,A,To argue he lacked the specific intent to kill required for attempted murder,Attempted murder requires specific intent to kill; voluntary intoxication may be relevant if it prevents formation of that intent,C,"Not at all, because voluntary intoxication is never relevant to attempt","004. ID 19099 | Pattern: After voluntarily drinking heavily, Simon throws a heavy glass bottle toward a crowd from a balcony. The bottle narrowly misses Dana. Simon is charged with attempted murder. Witnesses say Simon was laughing and yelling nonsense, not aiming at anyone in… | Trap: It affects only the specific intent element of attempted murder | Look for: A — To argue he lacked the specific intent to kill required for attempted murder. Rule: Attempted murder requires specific intent to kill; voluntary intoxication may be relevant if it prevents formation of that intent",95
5,20828,"Police conduct a suggestive stationhouse identification that the court suppresses. The witness had also spent fifteen minutes face-to-face with the robber in a bright office, gave a detailed description before the stationhouse procedure, and recognized the defendant in court based…",Independent-source analysis can permit the later in-court identification,A,"Yes, if the prosecution proves the in-court identification rests on an independent source from the witness's original observations",A later in-court identification may be admitted despite an earlier defective identification procedure if the prosecution shows an independent source based on the witness's observations at the crime,B,"No, because any earlier defective identification permanently bars all later identifications","005. ID 20828 | Pattern: Police conduct a suggestive stationhouse identification that the court suppresses. The witness had also spent fifteen minutes face-to-face with the robber in a bright office, gave a detailed description before the stationhouse procedure, and recognized the defendant in court based… | Trap: Independent-source analysis can permit the later in-court identification | Look for: A — Yes, if the prosecution proves the in-court identification rests on an independent source from the witness's original observations. Rule: A later in-court identification may be admitted despite an earlier defective identification procedure if the prosecution shows an independent source based on the witness's observations at the crime",107
6,18718,"An officer stopped Victor without reasonable suspicion. While the officer was asking questions, Victor punched the officer and tried to run away. The state charged Victor with assault on a police officer and seeks to introduce testimony about the punch.…",A new voluntary crime against an officer is generally treated as an independent act not suppressed as fruit of the prior illegality,C,"No, because Victor's assault was a new voluntary crime sufficiently independent of the unlawful stop",The exclusionary rule generally does not suppress evidence of a new crime committed in response to or after police illegality when the new act is sufficiently independent,A,"Yes, because the punch happened during an unlawful stop","006. ID 18718 | Pattern: An officer stopped Victor without reasonable suspicion. While the officer was asking questions, Victor punched the officer and tried to run away. The state charged Victor with assault on a police officer and seeks to introduce testimony about the punch.… | Trap: A new voluntary crime against an officer is generally treated as an independent act not suppressed as fruit of the prior illegality | Look for: C — No, because Victor's assault was a new voluntary crime sufficiently independent of the unlawful stop. Rule: The exclusionary rule generally does not suppress evidence of a new crime committed in response to or after police illegality when the new act is sufficiently independent",117
7,21562,"Officer Reyes observed Morgan run a red light and pulled her over. When Reyes asked for Morgan's license, Morgan refused, cursed at the officer, and began walking rapidly away. Reyes grabbed Morgan's arm to stop her. Morgan wrenched free and…",Graham v. Connor* explicitly rejected a subjective intent standard,C,Whether Reyes's force was objectively reasonable under the totality of the circumstances as judged from the perspective of a reasonable officer on the scene,"A warrantless arrest in a public place is valid if supported by probable cause; force used during arrest must be objectively reasonable under *Graham v. Connor*, judged from the perspective of a reasonable officer on the scene without the benefit of hindsight",B,Whether the force was the minimum necessary to complete the arrest,"007. ID 21562 | Pattern: Officer Reyes observed Morgan run a red light and pulled her over. When Reyes asked for Morgan's license, Morgan refused, cursed at the officer, and began walking rapidly away. Reyes grabbed Morgan's arm to stop her. Morgan wrenched free and… | Trap: Graham v. Connor* explicitly rejected a subjective intent standard | Look for: C — Whether Reyes's force was objectively reasonable under the totality of the circumstances as judged from the perspective of a reasonable officer on the scene. Rule: A warrantless arrest in a public place is valid if supported by probable cause; force used during arrest must be objectively reasonable under *Graham v. Connor*, judged from the perspective of a reasonable officer on the scene without the benefit of hindsight",128
8,19746,"Rina sells a stolen tablet to Caleb for cash. Caleb knows the tablet is stolen and buys it for his own use. There is no evidence that Caleb agreed to help Rina steal more goods, resell stolen goods, recruit buyers…",A conspiracy requires agreement to pursue a shared criminal objective,B,"The facts show only a buyer-seller transaction, not an agreement that Caleb join or further Rina's trafficking scheme","A mere buyer-seller relationship, without evidence of an agreement to further a broader criminal venture, does not automatically establish conspiracy",A,Knowing purchase of stolen property automatically proves a conspiracy with the seller,"008. ID 19746 | Pattern: Rina sells a stolen tablet to Caleb for cash. Caleb knows the tablet is stolen and buys it for his own use. There is no evidence that Caleb agreed to help Rina steal more goods, resell stolen goods, recruit buyers… | Trap: A conspiracy requires agreement to pursue a shared criminal objective | Look for: B — The facts show only a buyer-seller transaction, not an agreement that Caleb join or further Rina's trafficking scheme. Rule: A mere buyer-seller relationship, without evidence of an agreement to further a broader criminal venture, does not automatically establish conspiracy",101
9,20888,"Police arrest Dana for robbery, take her to the station, give Miranda warnings, and question her before any indictment, information, arraignment, or preliminary hearing. Dana waives her Miranda rights and admits she drove the getaway car. She later moves to…","Miranda is Fifth Amendment doctrine. The Sixth Amendment turns on formal adversary proceedings, not custody alone",A,"No, because formal adversary proceedings had not yet begun, so the Sixth Amendment right to counsel had not attached","The Sixth Amendment right to counsel attaches only when formal adversary proceedings begin, such as indictment, information, arraignment, preliminary hearing, or formal charge",B,"Yes, because custody automatically triggers both Miranda and the Sixth Amendment right to counsel","009. ID 20888 | Pattern: Police arrest Dana for robbery, take her to the station, give Miranda warnings, and question her before any indictment, information, arraignment, or preliminary hearing. Dana waives her Miranda rights and admits she drove the getaway car. She later moves to… | Trap: Miranda is Fifth Amendment doctrine. The Sixth Amendment turns on formal adversary proceedings, not custody alone | Look for: A — No, because formal adversary proceedings had not yet begun, so the Sixth Amendment right to counsel had not attached. Rule: The Sixth Amendment right to counsel attaches only when formal adversary proceedings begin, such as indictment, information, arraignment, preliminary hearing, or formal charge",111
10,18465,"An officer lawfully stands on a public sidewalk and sees a stolen sculpture through the window of a home. Without a warrant or exigent circumstances, the officer opens the front door, enters, and seizes the sculpture. Does plain view justify…",Plain view also requires lawful access to the object,B,"No, because the officer lacked lawful access to enter the home and seize the sculpture","Plain view permits seizure only when officers have lawful vantage, lawful access to the object, and immediately apparent incriminating character",A,"Yes, because the officer could see the sculpture from a lawful public vantage point","010. ID 18465 | Pattern: An officer lawfully stands on a public sidewalk and sees a stolen sculpture through the window of a home. Without a warrant or exigent circumstances, the officer opens the front door, enters, and seizes the sculpture. Does plain view justify… | Trap: Plain view also requires lawful access to the object | Look for: B — No, because the officer lacked lawful access to enter the home and seize the sculpture. Rule: Plain view permits seizure only when officers have lawful vantage, lawful access to the object, and immediately apparent incriminating character",97
11,14685,"A man and his friend were watching a televised football game at the man’s home. Upset by a penalty called by the referee, the friend threw a bottle of beer at the man’s television, breaking the screen. Enraged, the man…",It is debatable whether the friend breaking the man's television could constitute adequate provocation to mitigate murder to voluntary manslaughter,A,Murder,"At common law, a defendant could be convicted of murder not only for an intentional killing but also for causing another's death by actions intended to cause serious bodily injury short of death",B,Voluntary manslaughter.,"011. ID 14685 | Pattern: A man and his friend were watching a televised football game at the man’s home. Upset by a penalty called by the referee, the friend threw a bottle of beer at the man’s television, breaking the screen. Enraged, the man… | Trap: It is debatable whether the friend breaking the man's television could constitute adequate provocation to mitigate murder to voluntary manslaughter | Look for: A — Murder. Rule: At common law, a defendant could be convicted of murder not only for an intentional killing but also for causing another's death by actions intended to cause serious bodily injury short of death",107
12,18297,"A woman broke off her engagement to a man but refused to return the engagement ring the man had given her. One night, the man entered the woman's house after midnight to retrieve the ring. Although the woman was not…","This fact does not provide a defense to burglary, because the man still broke into and entered the house without the woman's consent",B,The man incorrectly and unreasonably believed that he was legally entitled to the ring,"The crime of burglary requires that the breaking and entering of the dwelling have been done at night, with the intent to commit an underlying felony (in most cases, larceny). The man's subjective belief that he was entitled to the ring (even…",A,The man knew that the woman kept a key under the doormat and he used the key to enter the house.,"012. ID 18297 | Pattern: A woman broke off her engagement to a man but refused to return the engagement ring the man had given her. One night, the man entered the woman's house after midnight to retrieve the ring. Although the woman was not… | Trap: This fact does not provide a defense to burglary, because the man still broke into and entered the house without the woman's consent | Look for: B — The man incorrectly and unreasonably believed that he was legally entitled to the ring. Rule: The crime of burglary requires that the breaking and entering of the dwelling have been done at night, with the intent to commit an underlying felony (in most cases, larceny). The man's subjective belief that he was entitled to the ring (even…",132
13,17522,"Evelyn was shot during a robbery. As paramedics worked to stabilize her, she told a detective who had arrived at the scene that the shooter was ""the man who works at the corner store, everyone calls him Nino."" Evelyn stated…",Crawford itself noted that dying declarations may represent a historical exception,C,"Yes, because dying declarations are a historical exception that survives the Confrontation Clause even when testimonial",Crawford left open whether dying declarations survive the Confrontation Clause; the majority of courts hold that dying declarations are a historical exception that predates and therefore survives Crawford,B,"No, because Evelyn's statement is testimonial and Nino lacked any prior opportunity to cross-examine her","013. ID 17522 | Pattern: Evelyn was shot during a robbery. As paramedics worked to stabilize her, she told a detective who had arrived at the scene that the shooter was ""the man who works at the corner store, everyone calls him Nino."" Evelyn stated… | Trap: Crawford itself noted that dying declarations may represent a historical exception | Look for: C — Yes, because dying declarations are a historical exception that survives the Confrontation Clause even when testimonial. Rule: Crawford left open whether dying declarations survive the Confrontation Clause; the majority of courts hold that dying declarations are a historical exception that predates and therefore survives Crawford",108
