qid,pc,correct,mpwa,answer_menu,correct_expl_first_sentence,wrong_expl_first_sentence,additional_info_first_sentence
21601,10.0,A,C,"No, because probable cause existed before the search and the lawful arrest follo | Yes, because the words ""under arrest"" must always be spoken before any search | Yes, because drug offenses never permit searches incident to arrest | No, because police may search anyone they suspect before deciding whether to arr","The search and arrest were part of one continuous encounter, and officers had probable cause before the search.",B: The formal announcement need not precede the search if probable cause already existed and the arrest promptly followed.,Search incident to arrest may apply when officers had probable cause before the search and a lawful custodial arrest followed quickly as part of the same encounter.
20881,12.0,C,B,"Yes, because a request for counsel permanently bars all later police-initiated q | Yes, because counsel had to be physically present for any later waiver | No, because a twenty-day break in custody preceded fresh warnings and a new waiv | No, because invoking counsel has no effect before formal charges are filed",Arlo was released for more than fourteen days.,A: A substantial break in custody can end the Edwards bar.,"After a suspect invokes Miranda counsel, police generally may not reinitiate custodial interrogation, but a fourteen-day break in custody can end that protection for later warned questioning."
14556,21.0,D,B,A: grant the motions of both the kidnapped person and the woman. | B: grant the motion of the kidnapped person and deny the motion of the woman. | C: grant the motion of the woman and deny the motion of the kidnapped person. | D: deny the motions of both the kidnapped person and the woman.,D is correct.,A is incorrect.,
14619,22.0,B,A,"A: violated by the instructions as to both issues. | B: violated by the instruction as to whether the woman was his wife, but not vio | C: violated by the instruction on belief as to consent, but not violated by the  | D: not violated by either part of the instructions.",B is correct.,A is incorrect.,
14698,26.0,C,A,A: robbery. | B: assault and robbery. | C: attempted robbery. | D: assault and attempted robbery.,C is correct.,A is incorrect.,
14596,28.0,B,C,A: Both proposals. | B: Neither proposal. | C: Proposal A only. | D: Proposal B only.,B is correct.,A is incorrect.,
14615,30.0,B,D,"A: granted, because the defendant's privilege against self-incrimination was vio | B: granted, because the defendant's right to counsel was violated. | C: denied, because the defendant had received Miranda warnings. | D: denied, because the defendant was not interrogated by the informant.",B is correct.,A is incorrect.,
14625,34.0,A,C,"A: correct, because he was acquitted of the attempted rape charge. | B: correct, because he was convicted of the assault charge. | C: incorrect, because the victim had not died at the time of the first trial and | D: incorrect, because he was convicted of the assault charge.",A is correct.,B is incorrect.,
14641,36.0,D,A,"A: guilty, because no mental state is required as to the element of age. | B: guilty, because he persisted after she told him she had changed her mind. | C: not guilty, because he reasonably believed she had consented and voluntarily  | D: not guilty, because he did not intend to have intercourse with a girl under t",D is correct.,A is incorrect.,
14586,39.0,B,A,"A: It may compel production without granting immunity, because the suspect was n | B: It may compel production only if the suspect is granted use and derivative us | C: It may compel production only if the suspect is granted transactional immunit | D: It may not compel production of a private diary under any circumstances.",B is correct.,A is incorrect.,
14588,40.0,D,A,A: The defendant must prove by a preponderance of the evidence that the victim c | B: The defendant must prove by clear and convincing evidence that the victim con | C: The defendant must prove beyond a reasonable doubt that the victim consented. | D: The prosecution must prove beyond a reasonable doubt that the victim did not ,D is correct.,A is incorrect.,
14569,40.0,D,B,A: deny the motion on the ground that the search was incident to a lawful arrest | B: deny the motion on the ground that school searches are reasonable if conducte | C: grant the motion on the ground that the search was conducted with excessive f | D: grant the motion on the ground that the search was conducted without probable,D is correct.,A is incorrect.,
16097,40.0,C,A,"Yes, because the police used special equipment to photograph the field. | No, because the reliability of the informant can be established. | Yes, because it was reasonable for the defendant to believe that nobody would lo | No, because the officers had a warrant to search the barn.",The United States Constitution protects criminal defendants against unreasonable search and seizure.,"A is incorrect because if the defendant had no reasonable expectation of privacy, the use of special equipment to photograph what the police observed would not be a search.",
14558,40.0,D,B,"A: reversed, because it was an error for the court to admit the evidence of his  | B: reversed, because it was a violation of due process to impose on the defense  | C: reversed, for both of the above reasons. | D: affirmed, because neither of the above reasons constitutes a ground for rever",D is correct.,A is incorrect.,
19271,40.0,B,A,"Yes, because the completed offense would not require Lee to know the buyer's age | No, because Lee did not intend to sell the chemical to a person under 18 | Yes, because Maya was an undercover officer rather than a real buyer | No, because attempt liability is impossible whenever the completed offense is st",Attempt requires proof that Lee specifically intended to commit the target crime.,A: Attempt is a specific-intent crime.,"Attempt requires the specific intent to commit the target crime, including intent as to the circumstance that makes the target conduct criminal, even when the completed offense would impose strict liability."
18132,40.0,C,A,"Yes, because Randall had retained counsel and clearly invoked his right to have  | Yes, because any statement taken from a represented defendant without counsel pr | No, because the Sixth Amendment right to counsel had not yet attached at the tim | No, because Randall waived his right by answering questions after receiving Mira","The Sixth Amendment right to counsel attaches only at the initiation of formal adversarial judicial proceedings — indictment, information, arraignment, or preliminary hearing.",A: The Sixth Amendment right had not yet attached because no formal adversarial proceedings had commenced.,The Sixth Amendment right to counsel does not attach until formal adversarial proceedings begin; pre-indictment questioning is governed by Miranda and the Fifth Amendment only
14697,40.0,B,A,A: robbery. | B: attempted robbery. | C: theft by false pretenses. | D: larceny by trick.,B is correct.,A is incorrect.,
18308,42.0,C,A,"Yes, because the prosecution's duty to disclose is absolute and cannot be excuse | Yes, because the report was in the prosecution's possession, regardless of what  | No, because there is no Brady violation when defense counsel already had access  | No, because the audit report was not sufficiently exculpatory to trigger the Bra",Brady's suppression element requires that the evidence was withheld from the defense.,A: Courts have consistently held that there is no Brady violation when the defendant or defense counsel possessed or had access to the exculpatory information and could have used it with reasonable diligence.,"Brady is not violated when the defendant or defense counsel was aware of the exculpatory evidence or could have discovered it through reasonable diligence; suppression implies the evidence was withheld from the defense, "
20816,42.0,C,A,"The defendant is correct; admission of a statement obtained in violation of Mira | The defendant bears the burden of showing the error was not harmless beyond a re | The court applies Chapman harmless-error review; the government bears the burden | The court applies plain-error review because Miranda is a prophylactic rule, not",Chapman v.,A: Miranda violations are not structural errors.,Under Chapman v.
17244,42.0,C,A,"Yes, because Trevor had already been indicted and the Sixth Amendment right to c | Yes, because the agent showed the photos without a neutral administrator present | No, because the Sixth Amendment right to counsel does not apply to photo arrays, | No, because the right to counsel attaches only at trial, not at pretrial identif",United States v.,A: The Supreme Court held in *United States v.,Under *United States v.
19882,42.0,B,A,The defense fails because Greta's intent to commit a crime is sufficient for att | The defense succeeds because the completed act would not have been a crime | The defense fails because Greta took a substantial step toward what she believed | The defense fails because Greta's mistake about the law does not negate criminal,True legal impossibility exists when the defendant's completed conduct — taken exactly as she believed it to be — would not constitute a crime.,"A: At common law, true legal impossibility is a complete defense.","At common law, true legal impossibility — where the defendant's completed acts, even as she believed them to be, would not constitute a crime — is a defense to attempt"
19042,42.0,A,D,"A: guilty, because she and the friend planned to take the coat by threatening th | B: guilty, because she was present when the friend shot the victim. | C: not guilty, because the victim shot first. | D: not guilty, because she did not aid or abet the friend in shooting the victim",B is incorrect because being present while a crime is committed is not sufficient to make a defendant an accomplice or a co-conspirator.,,
16065,42.0,D,C,"The defendant's conduct indicated an intent to kill the wife. | The defendant's conduct indicated an intent to inflict great bodily harm on the  | The defendant did not catch the wife in flagrante delicto. | In the defendant's position, a person of ordinary temperament would not have bec","Voluntary manslaughter is the killing of a human being with the intent to kill or inflict great bodily harm, under circumstances of extreme emotional distress (or mistaken justification).","A and B are incorrect because although a killing with the intent to kill or inflict great bodily harm may be murder, extreme emotional distress may reduce it to voluntary manslaughter even though the defendant intended t",
14590,42.0,D,C,"A: No, because suppression of in-court testimony is not a proper remedy, even th | B: No, because the out-of-court identification was not improper. | C: Yes, because the improper out-of-court identification has necessarily tainted | D: Yes, unless the prosecution demonstrates that the in-court identification is ",D is correct.,A is incorrect.,
20700,42.0,D,A,"A: Believing that the victim was attacking her, the defendant swung a tennis rac | B: The defendant's wife was admitted to the intensive care unit of a hospital fo | C: While the defendant was robbing a tavern, the bartender attempted to grab the | D: After the defendant quarreled with her lover, she fired a gun at him while he",The effect of A is to hold that one who acts unreasonably may be guilty of involuntary manslaughter.,,
18101,42.0,B,A,A: His wife did not die. | B: The druggist did not believe that the wife would die. | C: The drug that the man gave his wife was not likely to cause her death. | D: The inchoate crime and the substantive crime merge when the defendant's overt,A conspiracy occurs when two or more persons with the specific intent to commit a crime agree to commit it.,"Conspiracy, if it exists, is separate from the substantive crime and is complete when the unlawful agreement is made.",
19008,42.0,A,B,A: Murder. | B: Voluntary manslaughter. | C: Attempted murder. | D: Discharging a firearm within the municipal limits.,Murder is the unlawful killing of a human being with malice aforethought.,Voluntary manslaughter is the intentional killing of a human being under mitigating circumstances.,
21638,42.0,C,D,"No, because the officers had probable cause to believe drugs were being destroye | No, because officers may always enter to prevent destruction of evidence wheneve | Yes, because officers lacked sufficient probable cause specific to this apartmen | Yes, because the officers created the exigency by announcing their presence and ",The smell of marijuana in a hallway between two apartments does not provide particularized probable cause directed at the left apartment specifically.,A: Under Kentucky v.,"Police may enter without a warrant when they have probable cause plus exigent circumstances; however, police may not deliberately create the exigency through a Fourth Amendment violation in order to justify a warrantless"
19757,42.0,B,A,"Yes, because any judicial fact-finding at sentencing that increases the sentence | No, because after Booker the Federal Sentencing Guidelines are advisory, so judi | Yes, because any upward departure from a calculated guidelines range must be bas | No, because Booker applies only to cases where the judge imposes a sentence abov",Blakely v.,A: United States v.,Blakely v.
19242,42.0,C,D,"committed both forgery and false pretenses. | committed forgery, because she created a false document with the intent to defra | not committed forgery, because the document had no apparent legal significance,  | not committed forgery, because the document had no apparent legal significance, ",C is correct.,"A: the letter had no legal significance, so no forgery.",
14650,43.0,B,A,A: admitted without limitation. | B: admitted subject to an instruction that it pertains only to the attempted mur | C: admitted subject to an instruction that it pertains only to the assault charg | D: excluded altogether.,A or B is correct.,C is incorrect.,
14599,43.0,C,A,"A: sustained, because the statute grants unbridled discretion to law enforcement | B: sustained, because the stated regulatory purpose of the statute is a pretext  | C: denied, because the statute deals reasonably with a highly regulated industry | D: denied, because administrative searches of commercial establishments do not r",C is correct.,A is incorrect.,
14657,43.0,B,A,A: murder in first degree. | B: murder in the second degree. | C: murder in the third degree. | D: manslaughter.,B is correct.,A is incorrect.,
17252,43.0,C,A,"Yes, because Hank's belief that Porter was being attacked was objectively reason | Yes, because Hank was acting to protect a third party from what appeared to be s | No, because Porter had no right to resist a lawful arrest, and Hank steps into P | No, because only deadly force may be used to defend a third party","The alter-ego (minority) rule provides that an intervener acquires exactly the same defensive rights as the person she is defending — no more, no less.",A: The question specifies the alter-ego (minority) rule.,"Under the minority alter-ego rule, the intervener steps into the shoes of the person defended; if the person defended had no right to use force (e.g., was actually the aggressor), the intervener has no defense even if th"
17196,44.0,C,A,"No, because the Sixth Amendment right attached to the assault charge and the sta | No, because police deliberately framed questions about the same incident to circ | Yes, the statements are admissible, because murder was a separate uncharged offe | Yes, the statements are admissible, because Simon waived his Sixth Amendment rig","Under the *McNeil* offense-specific rule, the Sixth Amendment right to counsel attaches charge by charge.","A: The Sixth Amendment is offense-specific and turns on the legal definition of the offense, not the factual transaction.","The Sixth Amendment offense-specific rule turns on legal identity of offenses, not factual overlap; a different statutory offense is a different offense even if it arises from the same events"
19299,44.0,D,B,both larceny by trick and obtaining money by false pretenses (although he can on | larceny by trick only. | obtaining money by false pretenses only. | neither larceny by trick nor obtaining money by false pretenses.,D is correct.,A is incorrect.,
18980,44.0,C,D,"No, because the right to be present attaches only to jury selection and the init | No, because the defendant waived the right to be present by not affirmatively re | Yes, because the in-chambers supplemental instruction to the jury on an element  | Yes, and the error automatically requires reversal because ex parte judicial com",The Due Process Clause and the Sixth Amendment guarantee a defendant the right to be present at all stages of trial at which presence has a reasonably substantial relation to the fullness of the opportunity to defend.,A: A supplemental instruction responding to a jury question about an element of the offense directly affects the jury's deliberative process and the defendant's understanding of what must be proved.,The Sixth Amendment and Due Process Clause guarantee a defendant the right to be present at all stages of trial where the defendant's presence has a reasonably substantial relation to the fullness of the opportunity to d
